human_geneid,human_EnsemblID,human_Symbol,human_type_of_gene,human_description,mouse_EnsemblID,mouse_geneid,mouse_Symbol
58,ENSG00000143632,ACTA1,protein-coding,"actin alpha 1, skeletal muscle",ENSMUSG00000031972,11459,Acta1
59,ENSG00000107796,ACTA2,protein-coding,"actin alpha 2, smooth muscle",ENSMUSG00000035783,11475,Acta2
60,ENSG00000075624,ACTB,protein-coding,actin beta,ENSMUSG00000029580,11461,Actb
70,ENSG00000159251,ACTC1,protein-coding,actin alpha cardiac muscle 1,ENSMUSG00000068614,11464,Actc1
71,ENSG00000184009,ACTG1,protein-coding,actin gamma 1,ENSMUSG00000062825,11465,Actg1
72,ENSG00000163017,ACTG2,protein-coding,"actin gamma 2, smooth muscle",ENSMUSG00000059430,11468,Actg2
81,ENSG00000130402,ACTN4,protein-coding,actinin alpha 4,ENSMUSG00000054808,60595,Actn4
86,ENSG00000136518,ACTL6A,protein-coding,actin like 6A,ENSMUSG00000027671,56456,Actl6a
87,ENSG00000072110,ACTN1,protein-coding,actinin alpha 1,ENSMUSG00000015143,109711,Actn1
88,ENSG00000077522,ACTN2,protein-coding,actinin alpha 2,ENSMUSG00000052374,11472,Actn2
89,ENSG00000248746,ACTN3,protein-coding,actinin alpha 3,ENSMUSG00000006457,11474,Actn3
90,ENSG00000115170,ACVR1,protein-coding,activin A receptor type 1,ENSMUSG00000026836,11477,Acvr1
91,ENSG00000135503,ACVR1B,protein-coding,activin A receptor type 1B,ENSMUSG00000000532,11479,Acvr1b
92,ENSG00000121989,ACVR2A,protein-coding,activin A receptor type 2A,ENSMUSG00000052155,11480,Acvr2a
93,ENSG00000114739,ACVR2B,protein-coding,activin A receptor type 2B,ENSMUSG00000061393,11481,Acvr2b
94,ENSG00000139567,ACVRL1,protein-coding,activin A receptor like type 1,ENSMUSG00000000530,11482,Acvrl1
95,ENSG00000243989,ACY1,protein-coding,aminoacylase 1,ENSMUSG00000023262,109652,Acy1
97,ENSG00000119640,ACYP1,protein-coding,acylphosphatase 1,ENSMUSG00000008822,66204,Acyp1
98,ENSG00000170634,ACYP2,protein-coding,acylphosphatase 2,ENSMUSG00000060923,75572,Acyp2
100,ENSG00000196839,ADA,protein-coding,adenosine deaminase,ENSMUSG00000017697,11486,Ada
101,ENSG00000151651,ADAM8,protein-coding,ADAM metallopeptidase domain 8,ENSMUSG00000025473,11501,Adam8
102,ENSG00000137845,ADAM10,protein-coding,ADAM metallopeptidase domain 10,ENSMUSG00000054693,11487,Adam10
103,ENSG00000160710,ADAR,protein-coding,adenosine deaminase RNA specific,ENSMUSG00000027951,56417,Adar
104,ENSG00000197381,ADARB1,protein-coding,adenosine deaminase RNA specific B1,ENSMUSG00000020262,110532,Adarb1
105,ENSG00000185736,ADARB2,protein-coding,adenosine deaminase RNA specific B2 (inactive),ENSMUSG00000052551,94191,Adarb2
107,ENSG00000164742,ADCY1,protein-coding,adenylate cyclase 1,ENSMUSG00000020431,432530,Adcy1
108,ENSG00000078295,ADCY2,protein-coding,adenylate cyclase 2,ENSMUSG00000021536,210044,Adcy2
109,ENSG00000138031,ADCY3,protein-coding,adenylate cyclase 3,ENSMUSG00000020654,104111,Adcy3
111,ENSG00000173175,ADCY5,protein-coding,adenylate cyclase 5,ENSMUSG00000022840,224129,Adcy5
112,ENSG00000174233,ADCY6,protein-coding,adenylate cyclase 6,ENSMUSG00000022994,11512,Adcy6
113,ENSG00000121281,ADCY7,protein-coding,adenylate cyclase 7,ENSMUSG00000031659,11513,Adcy7
114,ENSG00000155897,ADCY8,protein-coding,adenylate cyclase 8,ENSMUSG00000022376,11514,Adcy8
115,ENSG00000162104,ADCY9,protein-coding,adenylate cyclase 9,ENSMUSG00000005580,11515,Adcy9
116,ENSG00000141433,ADCYAP1,protein-coding,adenylate cyclase activating polypeptide 1,ENSMUSG00000024256,11516,Adcyap1
117,ENSG00000078549,ADCYAP1R1,protein-coding,ADCYAP receptor type I,ENSMUSG00000029778,11517,Adcyap1r1
118,ENSG00000087274,ADD1,protein-coding,adducin 1,ENSMUSG00000029106,11518,Add1
119,ENSG00000075340,ADD2,protein-coding,adducin 2,ENSMUSG00000030000,11519,Add2
120,ENSG00000148700,ADD3,protein-coding,adducin 3,ENSMUSG00000025026,27360,Add3
123,ENSG00000147872,PLIN2,protein-coding,perilipin 2,ENSMUSG00000028494,11520,Plin2
126,ENSG00000248144,ADH1C,protein-coding,"alcohol dehydrogenase 1C (class I), gamma polypeptide",ENSMUSG00000074207,11522,Adh1
127,ENSG00000198099,ADH4,protein-coding,"alcohol dehydrogenase 4 (class II), pi polypeptide",ENSMUSG00000037797,26876,Adh4
128,ENSG00000197894,ADH5,protein-coding,"alcohol dehydrogenase 5 (class III), chi polypeptide",ENSMUSG00000028138,11532,Adh5
130,ENSG00000172955,ADH6,protein-coding,alcohol dehydrogenase 6 (class V),NA,NA,NA
131,ENSG00000196344,ADH7,protein-coding,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",ENSMUSG00000055301,11529,Adh7
132,ENSG00000156110,ADK,protein-coding,adenosine kinase,ENSMUSG00000039197,11534,Adk
133,ENSG00000148926,ADM,protein-coding,adrenomedullin,ENSMUSG00000030790,11535,Adm
134,ENSG00000163485,ADORA1,protein-coding,adenosine A1 receptor,ENSMUSG00000042429,11539,Adora1
135,ENSG00000128271,ADORA2A,protein-coding,adenosine A2a receptor,ENSMUSG00000020178,11540,Adora2a
136,ENSG00000170425,ADORA2B,protein-coding,adenosine A2b receptor,ENSMUSG00000018500,11541,Adora2b
140,ENSG00000282608,ADORA3,protein-coding,adenosine A3 receptor,NA,NA,NA
141,ENSG00000144843,ADPRH,protein-coding,ADP-ribosylarginine hydrolase,ENSMUSG00000002844,11544,Adprh
142,ENSG00000143799,PARP1,protein-coding,poly(ADP-ribose) polymerase 1,ENSMUSG00000026496,11545,Parp1
143,ENSG00000102699,PARP4,protein-coding,poly(ADP-ribose) polymerase family member 4,ENSMUSG00000054509,328417,Parp4
146,ENSG00000171873,ADRA1D,protein-coding,adrenoceptor alpha 1D,ENSMUSG00000027335,11550,Adra1d
147,ENSG00000170214,ADRA1B,protein-coding,adrenoceptor alpha 1B,ENSMUSG00000050541,11548,Adra1b
148,ENSG00000120907,ADRA1A,protein-coding,adrenoceptor alpha 1A,ENSMUSG00000045875,11549,Adra1a
150,ENSG00000150594,ADRA2A,protein-coding,adrenoceptor alpha 2A,ENSMUSG00000033717,11551,Adra2a
151,ENSG00000274286,ADRA2B,protein-coding,adrenoceptor alpha 2B,ENSMUSG00000058620,11552,Adra2b
152,ENSG00000184160,ADRA2C,protein-coding,adrenoceptor alpha 2C,ENSMUSG00000045318,11553,Adra2c
153,ENSG00000043591,ADRB1,protein-coding,adrenoceptor beta 1,ENSMUSG00000035283,11554,Adrb1
154,ENSG00000169252,ADRB2,protein-coding,adrenoceptor beta 2,ENSMUSG00000045730,11555,Adrb2
155,ENSG00000188778,ADRB3,protein-coding,adrenoceptor beta 3,ENSMUSG00000031489,11556,Adrb3
156,ENSG00000173020,GRK2,protein-coding,G protein-coupled receptor kinase 2,ENSMUSG00000024858,110355,Grk2
157,ENSG00000100077,GRK3,protein-coding,G protein-coupled receptor kinase 3,ENSMUSG00000042249,320129,Grk3
158,ENSG00000239900,ADSL,protein-coding,adenylosuccinate lyase,ENSMUSG00000022407,11564,Adsl
159,ENSG00000035687,ADSS2,protein-coding,adenylosuccinate synthase 2,ENSMUSG00000015961,11566,Adss2
160,ENSG00000196961,AP2A1,protein-coding,adaptor related protein complex 2 subunit alpha 1,ENSMUSG00000060279,11771,Ap2a1
161,ENSG00000183020,AP2A2,protein-coding,adaptor related protein complex 2 subunit alpha 2,ENSMUSG00000002957,11772,Ap2a2
162,ENSG00000100280,AP1B1,protein-coding,adaptor related protein complex 1 subunit beta 1,ENSMUSG00000009090,11764,Ap1b1
163,ENSG00000006125,AP2B1,protein-coding,adaptor related protein complex 2 subunit beta 1,ENSMUSG00000035152,71770,Ap2b1
164,ENSG00000166747,AP1G1,protein-coding,adaptor related protein complex 1 subunit gamma 1,ENSMUSG00000031731,11765,Ap1g1
165,ENSG00000106624,AEBP1,protein-coding,AE binding protein 1,ENSMUSG00000020473,11568,Aebp1
166,ENSG00000104964,TLE5,protein-coding,"TLE family member 5, transcriptional modulator",ENSMUSG00000054452,14797,Tle5
167,ENSG00000124812,CRISP1,protein-coding,cysteine rich secretory protein 1,ENSMUSG00000025431,11571,Crisp1
173,ENSG00000079557,AFM,protein-coding,afamin,ENSMUSG00000029369,280662,Afm
174,ENSG00000081051,AFP,protein-coding,alpha fetoprotein,ENSMUSG00000054932,11576,Afp
175,ENSG00000038002,AGA,protein-coding,aspartylglucosaminidase,ENSMUSG00000031521,11593,Aga
176,ENSG00000157766,ACAN,protein-coding,aggrecan,ENSMUSG00000030607,11595,Acan
177,ENSG00000204305,AGER,protein-coding,advanced glycosylation end-product specific receptor,ENSMUSG00000015452,11596,Ager
178,ENSG00000162688,AGL,protein-coding,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",ENSMUSG00000033400,77559,Agl
181,ENSG00000159723,AGRP,protein-coding,agouti related neuropeptide,ENSMUSG00000005705,11604,Agrp
182,ENSG00000101384,JAG1,protein-coding,jagged canonical Notch ligand 1,ENSMUSG00000027276,16449,Jag1
183,ENSG00000135744,AGT,protein-coding,angiotensinogen,ENSMUSG00000031980,11606,Agt
185,ENSG00000144891,AGTR1,protein-coding,angiotensin II receptor type 1,ENSMUSG00000054988,11608,Agtr1b
186,ENSG00000180772,AGTR2,protein-coding,angiotensin II receptor type 2,ENSMUSG00000068122,11609,Agtr2
187,ENSG00000134817,APLNR,protein-coding,apelin receptor,ENSMUSG00000044338,23796,Aplnr
189,ENSG00000172482,AGXT,protein-coding,alanine--glyoxylate aminotransferase,ENSMUSG00000026272,11611,Agxt
190,ENSG00000169297,NR0B1,protein-coding,nuclear receptor subfamily 0 group B member 1,ENSMUSG00000025056,11614,Nr0b1
191,ENSG00000101444,AHCY,protein-coding,adenosylhomocysteinase,ENSMUSG00000027597,269378,Ahcy
196,ENSG00000106546,AHR,protein-coding,aryl hydrocarbon receptor,ENSMUSG00000019256,11622,Ahr
197,ENSG00000145192,AHSG,protein-coding,alpha 2-HS glycoprotein,ENSMUSG00000022868,11625,Ahsg
199,ENSG00000204472,AIF1,protein-coding,allograft inflammatory factor 1,ENSMUSG00000024397,11629,Aif1
202,ENSG00000112297,CRYBG1,protein-coding,crystallin beta-gamma domain containing 1,ENSMUSG00000019866,11630,Crybg1
203,ENSG00000106992,AK1,protein-coding,adenylate kinase 1,ENSMUSG00000026817,11636,Ak1
204,ENSG00000004455,AK2,protein-coding,adenylate kinase 2,ENSMUSG00000028792,11637,Ak2
205,ENSG00000162433,AK4,protein-coding,adenylate kinase 4,ENSMUSG00000028527,11639,Ak4
207,ENSG00000142208,AKT1,protein-coding,AKT serine/threonine kinase 1,ENSMUSG00000001729,11651,Akt1
208,ENSG00000105221,AKT2,protein-coding,AKT serine/threonine kinase 2,ENSMUSG00000004056,11652,Akt2
210,ENSG00000148218,ALAD,protein-coding,aminolevulinate dehydratase,ENSMUSG00000028393,17025,Alad
211,ENSG00000023330,ALAS1,protein-coding,5'-aminolevulinate synthase 1,ENSMUSG00000032786,11655,Alas1
212,ENSG00000158578,ALAS2,protein-coding,5'-aminolevulinate synthase 2,ENSMUSG00000025270,11656,Alas2
213,ENSG00000163631,ALB,protein-coding,albumin,ENSMUSG00000029368,11657,Alb
214,ENSG00000170017,ALCAM,protein-coding,activated leukocyte cell adhesion molecule,ENSMUSG00000022636,11658,Alcam
215,ENSG00000101986,ABCD1,protein-coding,ATP binding cassette subfamily D member 1,ENSMUSG00000031378,11666,Abcd1
216,ENSG00000165092,ALDH1A1,protein-coding,aldehyde dehydrogenase 1 family member A1,NA,NA,NA
217,ENSG00000111275,ALDH2,protein-coding,aldehyde dehydrogenase 2 family member,ENSMUSG00000029455,11669,Aldh2
218,ENSG00000108602,ALDH3A1,protein-coding,aldehyde dehydrogenase 3 family member A1,ENSMUSG00000019102,11670,Aldh3a1
219,ENSG00000137124,ALDH1B1,protein-coding,aldehyde dehydrogenase 1 family member B1,ENSMUSG00000035561,72535,Aldh1b1
220,ENSG00000184254,ALDH1A3,protein-coding,aldehyde dehydrogenase 1 family member A3,ENSMUSG00000015134,56847,Aldh1a3
221,ENSG00000006534,ALDH3B1,protein-coding,aldehyde dehydrogenase 3 family member B1,ENSMUSG00000024885,67689,Aldh3b1
222,ENSG00000132746,ALDH3B2,protein-coding,aldehyde dehydrogenase 3 family member B2,NA,NA,NA
223,ENSG00000143149,ALDH9A1,protein-coding,aldehyde dehydrogenase 9 family member A1,ENSMUSG00000026687,56752,Aldh9a1
224,ENSG00000072210,ALDH3A2,protein-coding,aldehyde dehydrogenase 3 family member A2,NA,NA,NA
225,ENSG00000173208,ABCD2,protein-coding,ATP binding cassette subfamily D member 2,ENSMUSG00000055782,26874,Abcd2
226,ENSG00000149925,ALDOA,protein-coding,"aldolase, fructose-bisphosphate A",ENSMUSG00000030695,11674,Aldoa
229,ENSG00000136872,ALDOB,protein-coding,"aldolase, fructose-bisphosphate B",ENSMUSG00000028307,230163,Aldob
230,ENSG00000109107,ALDOC,protein-coding,"aldolase, fructose-bisphosphate C",ENSMUSG00000017390,11676,Aldoc
231,ENSG00000085662,AKR1B1,protein-coding,aldo-keto reductase family 1 member B,ENSMUSG00000001642,11677,Akr1b1
238,ENSG00000171094,ALK,protein-coding,ALK receptor tyrosine kinase,ENSMUSG00000055471,11682,Alk
239,ENSG00000108839,ALOX12,protein-coding,"arachidonate 12-lipoxygenase, 12S type",ENSMUSG00000000320,11684,Alox12
240,ENSG00000012779,ALOX5,protein-coding,arachidonate 5-lipoxygenase,ENSMUSG00000025701,11689,Alox5
241,ENSG00000132965,ALOX5AP,protein-coding,arachidonate 5-lipoxygenase activating protein,ENSMUSG00000060063,11690,Alox5ap
242,ENSG00000179477,ALOX12B,protein-coding,"arachidonate 12-lipoxygenase, 12R type",ENSMUSG00000032807,11686,Alox12b
246,ENSG00000161905,ALOX15,protein-coding,arachidonate 15-lipoxygenase,NA,NA,NA
247,ENSG00000179593,ALOX15B,protein-coding,arachidonate 15-lipoxygenase type B,ENSMUSG00000020891,11688,Alox8
248,ENSG00000163295,ALPI,protein-coding,"alkaline phosphatase, intestinal",ENSMUSG00000079440,76768,Alpi
249,ENSG00000162551,ALPL,protein-coding,"alkaline phosphatase, biomineralization associated",ENSMUSG00000028766,11647,Alpl
250,ENSG00000163283,ALPP,protein-coding,"alkaline phosphatase, placental",NA,NA,NA
257,ENSG00000156150,ALX3,protein-coding,ALX homeobox 3,ENSMUSG00000014603,11694,Alx3
258,ENSG00000178522,AMBN,protein-coding,ameloblastin,ENSMUSG00000029288,11698,Ambn
259,ENSG00000106927,AMBP,protein-coding,alpha-1-microglobulin/bikunin precursor,ENSMUSG00000028356,11699,Ambp
262,ENSG00000123505,AMD1,protein-coding,adenosylmethionine decarboxylase 1,ENSMUSG00000075232,11702,Amd1
265,ENSG00000125363,AMELX,protein-coding,amelogenin X-linked,ENSMUSG00000031354,11704,Amelx
267,ENSG00000159461,AMFR,protein-coding,autocrine motility factor receptor,ENSMUSG00000031751,23802,Amfr
268,ENSG00000104899,AMH,protein-coding,anti-Mullerian hormone,ENSMUSG00000035262,11705,Amh
269,ENSG00000135409,AMHR2,protein-coding,anti-Mullerian hormone receptor type 2,ENSMUSG00000023047,110542,Amhr2
270,ENSG00000116748,AMPD1,protein-coding,adenosine monophosphate deaminase 1,ENSMUSG00000070385,229665,Ampd1
271,ENSG00000116337,AMPD2,protein-coding,adenosine monophosphate deaminase 2,ENSMUSG00000027889,109674,Ampd2
272,ENSG00000133805,AMPD3,protein-coding,adenosine monophosphate deaminase 3,ENSMUSG00000005686,11717,Ampd3
273,ENSG00000078053,AMPH,protein-coding,amphiphysin,ENSMUSG00000021314,218038,Amph
274,ENSG00000136717,BIN1,protein-coding,bridging integrator 1,ENSMUSG00000024381,30948,Bin1
275,ENSG00000145020,AMT,protein-coding,aminomethyltransferase,ENSMUSG00000032607,434437,Amt
283,ENSG00000214274,ANG,protein-coding,angiogenin,ENSMUSG00000072115,11727,Ang
284,ENSG00000154188,ANGPT1,protein-coding,angiopoietin 1,ENSMUSG00000022309,11600,Angpt1
285,ENSG00000091879,ANGPT2,protein-coding,angiopoietin 2,ENSMUSG00000031465,11601,Angpt2
286,ENSG00000029534,ANK1,protein-coding,ankyrin 1,ENSMUSG00000031543,11733,Ank1
287,ENSG00000145362,ANK2,protein-coding,ankyrin 2,ENSMUSG00000032826,109676,Ank2
288,ENSG00000151150,ANK3,protein-coding,ankyrin 3,ENSMUSG00000069601,11735,Ank3
290,ENSG00000166825,ANPEP,protein-coding,"alanyl aminopeptidase, membrane",ENSMUSG00000039062,16790,Anpep
291,ENSG00000151729,SLC25A4,protein-coding,solute carrier family 25 member 4,ENSMUSG00000031633,11739,Slc25a4
292,ENSG00000005022,SLC25A5,protein-coding,solute carrier family 25 member 5,ENSMUSG00000016319,11740,Slc25a5
301,ENSG00000135046,ANXA1,protein-coding,annexin A1,ENSMUSG00000024659,16952,Anxa1
302,ENSG00000182718,ANXA2,protein-coding,annexin A2,ENSMUSG00000032231,12306,Anxa2
306,ENSG00000138772,ANXA3,protein-coding,annexin A3,ENSMUSG00000029484,11745,Anxa3
307,ENSG00000196975,ANXA4,protein-coding,annexin A4,ENSMUSG00000029994,11746,Anxa4
308,ENSG00000164111,ANXA5,protein-coding,annexin A5,ENSMUSG00000027712,11747,Anxa5
309,ENSG00000197043,ANXA6,protein-coding,annexin A6,ENSMUSG00000018340,11749,Anxa6
310,ENSG00000138279,ANXA7,protein-coding,annexin A7,ENSMUSG00000021814,11750,Anxa7
311,ENSG00000122359,ANXA11,protein-coding,annexin A11,ENSMUSG00000021866,11744,Anxa11
312,ENSG00000104537,ANXA13,protein-coding,annexin A13,ENSMUSG00000055114,69787,Anxa13
313,ENSG00000136250,AOAH,protein-coding,acyloxyacyl hydrolase,ENSMUSG00000021322,27052,Aoah
314,ENSG00000131480,AOC2,protein-coding,amine oxidase copper containing 2,ENSMUSG00000078651,237940,Aoc2
316,ENSG00000138356,AOX1,protein-coding,aldehyde oxidase 1,ENSMUSG00000063558,11761,Aox1
317,ENSG00000120868,APAF1,protein-coding,apoptotic peptidase activating factor 1,ENSMUSG00000019979,11783,Apaf1
318,ENSG00000164978,NUDT2,protein-coding,nudix hydrolase 2,ENSMUSG00000028443,66401,Nudt2
319,ENSG00000175336,APOF,protein-coding,apolipoprotein F,ENSMUSG00000047631,103161,Apof
320,ENSG00000107282,APBA1,protein-coding,amyloid beta precursor protein binding family A member 1,ENSMUSG00000024897,319924,Apba1
321,ENSG00000034053,APBA2,protein-coding,amyloid beta precursor protein binding family A member 2,ENSMUSG00000030519,11784,Apba2
322,ENSG00000166313,APBB1,protein-coding,amyloid beta precursor protein binding family B member 1,ENSMUSG00000037032,11785,Apbb1
323,ENSG00000163697,APBB2,protein-coding,amyloid beta precursor protein binding family B member 2,ENSMUSG00000029207,11787,Apbb2
324,ENSG00000134982,APC,protein-coding,APC regulator of WNT signaling pathway,ENSMUSG00000005871,11789,Apc
325,ENSG00000132703,APCS,protein-coding,"amyloid P component, serum",ENSMUSG00000026542,20219,Apcs
326,ENSG00000160224,AIRE,protein-coding,autoimmune regulator,ENSMUSG00000000731,11634,Aire
327,ENSG00000164062,APEH,protein-coding,acylaminoacyl-peptide hydrolase,ENSMUSG00000032590,235606,Apeh
328,ENSG00000100823,APEX1,protein-coding,apurinic/apyrimidinic endodeoxyribonuclease 1,ENSMUSG00000035960,11792,Apex1
329,ENSG00000110330,BIRC2,protein-coding,baculoviral IAP repeat containing 2,ENSMUSG00000057367,11797,Birc2
330,ENSG00000023445,BIRC3,protein-coding,baculoviral IAP repeat containing 3,NA,NA,NA
331,ENSG00000101966,XIAP,protein-coding,X-linked inhibitor of apoptosis,ENSMUSG00000025860,11798,Xiap
332,ENSG00000089685,BIRC5,protein-coding,baculoviral IAP repeat containing 5,ENSMUSG00000017716,11799,Birc5
333,ENSG00000105290,APLP1,protein-coding,amyloid beta precursor like protein 1,ENSMUSG00000006651,11803,Aplp1
334,ENSG00000084234,APLP2,protein-coding,amyloid beta precursor like protein 2,ENSMUSG00000031996,11804,Aplp2
335,ENSG00000118137,APOA1,protein-coding,apolipoprotein A1,ENSMUSG00000032083,11806,Apoa1
336,ENSG00000158874,APOA2,protein-coding,apolipoprotein A2,ENSMUSG00000005681,11807,Apoa2
337,ENSG00000110244,APOA4,protein-coding,apolipoprotein A4,ENSMUSG00000032080,11808,Apoa4
338,ENSG00000084674,APOB,protein-coding,apolipoprotein B,ENSMUSG00000020609,238055,Apob
339,ENSG00000111701,APOBEC1,protein-coding,apolipoprotein B mRNA editing enzyme catalytic subunit 1,ENSMUSG00000040613,11810,Apobec1
341,ENSG00000130208,APOC1,protein-coding,apolipoprotein C1,ENSMUSG00000040564,11812,Apoc1
343,ENSG00000103375,AQP8,protein-coding,aquaporin 8,ENSMUSG00000030762,11833,Aqp8
344,ENSG00000234906,APOC2,protein-coding,apolipoprotein C2,ENSMUSG00000002992,11813,Apoc2
345,ENSG00000110245,APOC3,protein-coding,apolipoprotein C3,ENSMUSG00000032081,11814,Apoc3
346,ENSG00000267467,APOC4,protein-coding,apolipoprotein C4,ENSMUSG00000074336,11425,Apoc4
347,ENSG00000189058,APOD,protein-coding,apolipoprotein D,ENSMUSG00000022548,11815,Apod
348,ENSG00000130203,APOE,protein-coding,apolipoprotein E,ENSMUSG00000002985,11816,Apoe
350,ENSG00000091583,APOH,protein-coding,apolipoprotein H,ENSMUSG00000000049,11818,Apoh
351,ENSG00000142192,APP,protein-coding,amyloid beta precursor protein,ENSMUSG00000022892,11820,App
353,ENSG00000198931,APRT,protein-coding,adenine phosphoribosyltransferase,ENSMUSG00000006589,11821,Aprt
355,ENSG00000026103,FAS,protein-coding,Fas cell surface death receptor,ENSMUSG00000024778,14102,Fas
356,ENSG00000117560,FASLG,protein-coding,Fas ligand,ENSMUSG00000000817,14103,Fasl
357,ENSG00000146950,SHROOM2,protein-coding,shroom family member 2,ENSMUSG00000045180,110380,Shroom2
358,ENSG00000240583,AQP1,protein-coding,aquaporin 1 (Colton blood group),ENSMUSG00000004655,11826,Aqp1
359,ENSG00000167580,AQP2,protein-coding,aquaporin 2,ENSMUSG00000023013,11827,Aqp2
360,ENSG00000165272,AQP3,protein-coding,aquaporin 3 (Gill blood group),ENSMUSG00000028435,11828,Aqp3
361,ENSG00000171885,AQP4,protein-coding,aquaporin 4,ENSMUSG00000024411,11829,Aqp4
